ville,nom,marque,annee,places,prix_par_jour,agence,localisation,image_url_1,image_url_2,image_url_3,image_url_4
Casablanca,Porsche 718 Boxster,Porsche,2023,5,10000,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Porsche_718-Boxster_2023_32225_32225_26246766302-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_718-Boxster_2023_32225_32225_26246769305-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_718-Boxster_2023_32225_32225_26246715561-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_718-Boxster_2023_32225_32225_26246785482-1_small.jpg
Casablanca,Mercedes Benz S350 D,Mercedes,2023,5,11500,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_S350-D_2023_32217_32217_26245145635-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_S350-D_2023_32217_32217_26245189753-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_S350-D_2023_32217_32217_2624511893-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_S350-D_2023_32217_32217_26245430695-4_small.jpg
Casablanca,Hyundai Accent,Hyundai,2024,5,450,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_30684_30684_2459629087-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_30684_30684_24596212692-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_30684_30684_24596278250-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_30684_30684_24596562622-4_small.jpg
Casablanca,Renault Clio,Renault,2024,5,450,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2024_32210_32210_26244565768-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2024_32210_32210_26244540015-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2024_32210_32210_26244576593-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Renault_Clio_2024_32210_32210_26244571281-1_small.jpg
Casablanca,Mercedes Benz Vito,Mercedes,2024,5,2430,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_30196_30196_24034893052-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_30196_30196_24034538175-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_30196_30196_24034393718-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_Vito_2024_30196_30196_24034519568-3_small.jpg
Casablanca,Audi Q8,Audi,2023,5,3250,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Audi_Q8_2023_32202_32202_26243171244-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q8_2023_32202_32202_26243138112-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q8_2023_32202_32202_26243422420-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q8_2023_32202_32202_26243427407-4_small.jpg
Casablanca,Volkswagen Touareg,Volkswagen,2023,5,1300,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_32178_32178_26192861121-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_32178_32178_26192955986-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_32178_32178_26192979728-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_32178_32178_26193184922-4_small.jpg
Casablanca,Hyundai Staria,Hyundai,2024,5,1690,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Staria_2024_26701_26701_19196470446-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Staria_2024_26701_26701_19197176575-8_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Staria_2024_26701_26701_19197053070-7_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Staria_2024_26701_26701_19196462569-1_small.jpg
Casablanca,Land Rover Range Rover Vogue,Land,2024,5,7470,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_32170_32170_26192132044-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_32170_32170_26192138321-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_32170_32170_26192258156-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_32170_32170_26192574575-5_small.jpg
Casablanca,Cupra Formentor,Cupra,2023,5,1430,Hermanos Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Cupra_Formentor_2023_26718_26718_19215640793-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Cupra_Formentor_2023_26718_26718_1921574593-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Cupra_Formentor_2023_26718_26718_19215878619-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Cupra_Formentor_2023_26718_26718_19216261796-7_small.jpg
Casablanca,Land Rover Range Rover Sport,Land,2024,5,3900,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2024_32162_32162_26191486515-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2024_32162_32162_26191474409-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2024_32162_32162_2619148507-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2024_32162_32162_26191476442-1_small.jpg
Casablanca,Land Rover Range Rover Vogue,Land,2024,5,7150,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26035_26035_18277248469-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26035_26035_18277036187-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26035_26035_18277072892-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26035_26035_18277385352-4_small.jpg
Casablanca,Hyundai Accent,Hyundai,2024,5,570,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_32154_32154_26190089980-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_32154_32154_26190926950-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_32154_32154_26190925813-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Accent_2024_32154_32154_2619097478-2_small.jpg
Casablanca,Porsche 911 Targa 4 GTS Spyder,Porsche,2023,5,25000,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Porsche_911-Targa-4-GTS-Spyder_2023_22207_22207_1494824950-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_911-Targa-4-GTS-Spyder_2023_22207_22207_14948249322-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_911-Targa-4-GTS-Spyder_2023_22207_22207_14948397738-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Porsche_911-Targa-4-GTS-Spyder_2023_22207_22207_14949181325-4_small.jpg
Casablanca,Volkswagen Touareg,Volkswagen,2023,5,1300,Hermanos Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19414_19414_18938891037-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19414_19414_18938645206-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19414_19414_18938620964-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19414_19414_18939154495-6_small.jpg
Casablanca,Land Rover Range Rover Evoque,Land,2024,5,1300,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2024_32090_32090_26155027997-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2024_32090_32090_26155086981-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2024_32090_32090_2615503682-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2024_32090_32090_26155392194-4_small.jpg
Casablanca,Land Rover Range Rover Evoque,Land,2023,5,1300,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_32089_32089_26154541252-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_32089_32089_26154518252-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_32089_32089_26154580439-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_32089_32089_26154597476-1_small.jpg
Casablanca,Dacia Duster,Dacia,2023,5,455,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2023_21871_21871_14778978194-7_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2023_21871_21871_14778959764-7_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2023_21871_21871_14778985623-7_small.jpg,https://static.oneclickdrive.com/uploads/cars/Dacia_Duster_2023_21871_21871_14636741475-3_small.jpg
Casablanca,Hyundai Tucson,Hyundai,2024,5,590,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2024_32074_32074_26141248484-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2024_32074_32074_26141391441-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2024_32074_32074_26141515334-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2024_32074_32074_26141569129-4_small.jpg
Casablanca,Hyundai Tucson,Hyundai,2023,5,590,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_21793_21793_14761758766-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_21793_21793_14761765777-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_21793_21793_14761771813-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_21793_21793_14533971862-3_small.jpg
Casablanca,Fiat 500C,Fiat,2023,5,520,Hurento Rent a Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_32057_32057_26117267755-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_32057_32057_26119371950-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_32057_32057_26119316242-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_32057_32057_26119310863-2_small.jpg
Casablanca,Volkswagen T Roc,Volkswagen,2023,5,780,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_21666_21666_14762057810-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_21666_21666_14762027739-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_21666_21666_14762276537-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_21666_21666_14298698440-2_small.jpg
Casablanca,Volkswagen Touareg,Volkswagen,2023,5,1300,Sovoy Cars,"Nouaceur International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_20275_20275_14762634385-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_20275_20275_14762637261-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_20275_20275_14762622323-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_20275_20275_14296576585-9_small.jpg
Casablanca,Hyundai Creta 5 Seater,Hyundai,2023,5,520,Hermanos Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2023_19410_19410_189401635-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2023_19410_19410_18940238876-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2023_19410_19410_18940231820-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2023_19410_19410_18940441620-4_small.jpg
Casablanca,Hyundai Tucson,Hyundai,2023,5,590,Hermanos Cars,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_19409_19409_18939772915-6_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_19409_19409_18939289172-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_19409_19409_18939927899-8_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Tucson_2023_19409_19409_18939399014-2_small.jpg
Casablanca,Volkswagen Golf GTI,Volkswagen,2023,5,1000,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf-GTI_2023_24375_24375_17085280780-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf-GTI_2023_24375_24375_17085856365-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf-GTI_2023_24375_24375_17085836833-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Golf-GTI_2023_24375_24375_17086186123-5_small.jpg
Casablanca,Land Rover Range Rover Vogue,Land,2024,5,7470,Almeftah Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26147_26147_18383887276-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26147_26147_18383971983-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26147_26147_18383972213-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue_2024_26147_26147_1838408712-3_small.jpg
Casablanca,Land Rover Range Rover Evoque,Land,2023,5,1100,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_19321_19321_1708662836-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_19321_19321_17086844223-6_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_19321_19321_17086739330-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Evoque_2023_19321_19321_17013889767-3_small.jpg
Casablanca,Fiat 500C,Fiat,2023,5,520,Almeftah Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19571_19571_14740561965-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19571_19571_14740532306-2_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19571_19571_14740848507-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19571_19571_14740722413-4_small.jpg
Casablanca,Mercedes Benz V Class,Mercedes,2024,5,3250,Hurento Chauffeur Service,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_V-Class_2024_37067_37067_29764382834-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_V-Class_2024_37067_37067_29763593234-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_V-Class_2024_37067_37067_2976358641-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_V-Class_2024_37067_37067_29763522361-1_small.jpg
Casablanca,Volkswagen T Roc,Volkswagen,2023,5,780,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_23778_23778_1633815350-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_23778_23778_1633798914-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_23778_23778_16337918561-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_T-Roc_2023_23778_23778_16338222291-4_small.jpg
Casablanca,Hyundai Creta 5 Seater,Hyundai,2022,5,520,Almeftah Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2022_19570_19570_17047785888-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2022_19570_19570_17047752053-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2022_19570_19570_17047795063-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Hyundai_Creta-5-Seater_2022_19570_19570_17048065055-4_small.jpg
Casablanca,Audi Q3 S Line,Audi,2023,5,1300,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Audi_Q3-S-Line-Coupe_2023_19320_19320_17086370236-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3-S-Line-Coupe_2023_19320_19320_17086458819-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3-S-Line-Coupe_2023_19320_19320_1708641655-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Audi_Q3-S-Line-Coupe_2023_19320_19320_1701273242-2_small.jpg
Casablanca,Volkswagen Touareg,Volkswagen,2022,5,1300,Almeftah Car,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2022_19568_19568_14741134265-3_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2022_19568_19568_14740914582-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2022_19568_19568_14741251557-4_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2022_19568_19568_14741386354-5_small.jpg
Casablanca,Land Rover Range Rover,Land,2024,5,6500,Hurento Chauffeur Service,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue-Car_2024_37059_37059_29750771453-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue-Car_2024_37059_37059_29750730161-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue-Car_2024_37059_37059_29750737583-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Vogue-Car_2024_37059_37059_2975116074-4_small.jpg
Casablanca,Land Rover Range Rover Sport,Land,2023,5,3100,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2023_19317_19317_16128284105-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2023_19317_19317_1612888690-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2023_19317_19317_1612872134-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Land-Rover_Range-Rover-Sport_2023_19317_19317_16128668419-4_small.jpg
Casablanca,Volkswagen Touareg,Volkswagen,2023,5,1100,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19318_19318_16115677979-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19318_19318_16115116791-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19318_19318_16115559985-5_small.jpg,https://static.oneclickdrive.com/uploads/cars/Volkswagen_Touareg_2023_19318_19318_16115345725-3_small.jpg
Casablanca,Mercedes Benz A200,Mercedes,2024,5,1300,Hurento Chauffeur Service,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_A200_2024_37052_37052_29750269580-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_A200_2024_37052_37052_29750231555-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_A200_2024_37052_37052_29750283436-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Mercedes-Benz_A200_2024_37052_37052_29750652793-4_small.jpg
Casablanca,Fiat 500C,Fiat,2023,5,500,Zincars Rental,"Mohammed V International Airport, Casablanca",https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19232_19232_16118693168-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19232_19232_16118627883-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19232_19232_16118632725-1_small.jpg,https://static.oneclickdrive.com/uploads/cars/Fiat_500C_2023_19232_19232_16118990488-4_small.jpg
